call_id,call_date,hcp_id,rep_id,product_id,channel,sample_dropped
CALL000000001,2023-01-17,HCP000001,REP014,P001,Rep Call,False
CALL000000002,2023-01-31,HCP000001,REP014,P001,Rep Call,False
CALL000000003,2023-01-16,HCP000001,REP014,P001,Rep Call,False
CALL000000004,2023-01-04,HCP000001,REP014,P001,Rep Call,False
CALL000000005,2023-02-03,HCP000001,REP014,P001,Rep Call,True
CALL000000006,2023-02-16,HCP000001,REP014,P001,Rep Call,False
CALL000000007,2023-02-08,HCP000001,REP014,P001,Rep Call,False
CALL000000008,2023-02-18,HCP000001,REP014,P001,Rep Call,False
CALL000000009,2023-03-12,HCP000001,REP014,P001,Rep Call,True
CALL000000010,2023-03-15,HCP000001,REP014,P001,Rep Call,True
CALL000000011,2023-03-24,HCP000001,REP014,P001,Rep Call,False
CALL000000012,2023-04-21,HCP000001,REP014,P001,Rep Call,False
CALL000000013,2023-04-24,HCP000001,REP014,P001,Rep Call,True
CALL000000014,2023-05-06,HCP000001,REP014,P001,Rep Call,False
CALL000000015,2023-06-24,HCP000001,REP014,P001,Rep Call,False
CALL000000016,2023-06-25,HCP000001,REP014,P001,Rep Call,False
CALL000000017,2023-06-27,HCP000001,REP014,P001,Rep Call,False
CALL000000018,2023-07-09,HCP000001,REP014,P001,Rep Call,True
CALL000000019,2023-08-16,HCP000001,REP014,P001,Rep Call,True
CALL000000020,2023-08-18,HCP000001,REP014,P001,Rep Call,True
CALL000000021,2023-08-14,HCP000001,REP014,P001,Rep Call,False
CALL000000022,2023-08-21,HCP000001,REP014,P001,Rep Call,False
CALL000000023,2023-09-19,HCP000001,REP014,P001,Rep Call,False
CALL000000024,2023-09-01,HCP000001,REP014,P001,Rep Call,True
CALL000000025,2023-09-09,HCP000001,REP014,P001,Rep Call,False
CALL000000026,2023-09-13,HCP000001,REP014,P001,Rep Call,True
CALL000000027,2023-11-14,HCP000001,REP014,P001,Rep Call,False
CALL000000028,2023-12-21,HCP000001,REP014,P001,Rep Call,True
CALL000000029,2023-12-04,HCP000001,REP014,P001,Rep Call,False
CALL000000030,2023-12-03,HCP000001,REP014,P001,Rep Call,False
CALL000000031,2023-12-23,HCP000001,REP014,P001,Rep Call,False
CALL000000032,2024-01-05,HCP000001,REP014,P001,Rep Call,False
CALL000000033,2024-02-20,HCP000001,REP014,P001,Rep Call,False
CALL000000034,2024-05-20,HCP000001,REP014,P001,Rep Call,False
CALL000000035,2024-05-25,HCP000001,REP014,P001,Rep Call,False
CALL000000036,2024-05-14,HCP000001,REP014,P001,Rep Call,True
CALL000000037,2024-05-14,HCP000001,REP014,P001,Rep Call,False
CALL000000038,2024-05-28,HCP000001,REP014,P001,Rep Call,True
CALL000000039,2024-06-14,HCP000001,REP014,P001,Rep Call,False
CALL000000040,2024-06-26,HCP000001,REP014,P001,Rep Call,False
CALL000000041,2024-07-20,HCP000001,REP014,P001,Rep Call,False
CALL000000042,2024-07-03,HCP000001,REP014,P001,Rep Call,True
CALL000000043,2024-07-06,HCP000001,REP014,P001,Rep Call,False
CALL000000044,2024-08-16,HCP000001,REP014,P001,Rep Call,False
CALL000000045,2024-09-14,HCP000001,REP014,P001,Rep Call,False
CALL000000046,2024-09-11,HCP000001,REP014,P001,Rep Call,True
CALL000000047,2024-10-09,HCP000001,REP014,P001,Rep Call,False
CALL000000048,2024-10-16,HCP000001,REP014,P001,Rep Call,False
CALL000000049,2024-10-05,HCP000001,REP014,P001,Rep Call,False
CALL000000050,2024-11-18,HCP000001,REP014,P001,Rep Call,False
CALL000000051,2024-12-12,HCP000001,REP014,P001,Rep Call,False
CALL000000052,2025-01-26,HCP000001,REP014,P001,Rep Call,True
CALL000000053,2025-02-21,HCP000001,REP014,P001,Rep Call,False
CALL000000054,2025-02-21,HCP000001,REP014,P001,Rep Call,True
CALL000000055,2025-03-05,HCP000001,REP014,P001,Rep Call,False
CALL000000056,2025-03-18,HCP000001,REP014,P001,Rep Call,False
CALL000000057,2025-04-19,HCP000001,REP014,P001,Rep Call,False
CALL000000058,2025-04-16,HCP000001,REP014,P001,Rep Call,False
CALL000000059,2025-04-06,HCP000001,REP014,P001,Rep Call,True
CALL000000060,2025-05-06,HCP000001,REP014,P001,Rep Call,False
CALL000000061,2025-05-01,HCP000001,REP014,P001,Rep Call,False
CALL000000062,2025-05-24,HCP000001,REP014,P001,Rep Call,False
CALL000000063,2025-05-28,HCP000001,REP014,P001,Rep Call,False
CALL000000064,2025-05-03,HCP000001,REP014,P001,Rep Call,False
CALL000000065,2025-05-01,HCP000001,REP014,P001,Rep Call,True
CALL000000066,2025-07-30,HCP000001,REP014,P001,Rep Call,True
CALL000000067,2025-08-09,HCP000001,REP014,P001,Rep Call,False
CALL000000068,2025-08-10,HCP000001,REP014,P001,Rep Call,False
CALL000000069,2025-09-29,HCP000001,REP014,P001,Rep Call,True
CALL000000070,2025-11-01,HCP000001,REP014,P001,Rep Call,False
CALL000000071,2025-12-27,HCP000001,REP014,P001,Rep Call,False
CALL000000072,2025-12-25,HCP000001,REP014,P001,Rep Call,False
CALL000000073,2023-03-05,HCP000002,REP009,P001,Rep Call,False
CALL000000074,2023-03-16,HCP000002,REP009,P001,Rep Call,False
CALL000000075,2023-05-19,HCP000002,REP009,P001,Rep Call,False
